snr,nmse_ls,nmse_lmmse,ber_ls,ber_lmmse,ber_dataset_est
-5,10.16249225094091,-0.1315554544195522,0.5926,0.59235,0.151
-2,7.139709462727618,-0.37724288448943594,0.5189,0.519,0.10625
1,4.189476199158843,-0.9103182703185518,0.4179,0.41795,0.07985
4,1.1745637504686333,-1.9930714598275003,0.3075,0.30755,0.07065
7,-1.839526354262015,-3.657444537675099,0.20675,0.20685,0.06145
10,-4.837108255137091,-5.826960220756298,0.13065,0.1307,0.06045
13,-7.843468856717814,-8.360213210835997,0.08715,0.0871,0.0577
16,-10.832980398027876,-11.100745359551125,0.06035,0.06035,0.0587
19,-13.868697275837912,-14.002634942650946,0.04835,0.0484,0.0574
22,-16.849316821113437,-16.916817817085096,0.0409,0.0409,0.05755
25,-19.81109298179519,-19.844539639812222,0.03815,0.0382,0.0568
